"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 01월 15일","13,400","13,350","13,500","13,250","23.96K","0.75%"
"2019년 01월 14일","13,300","13,400","13,400","13,050","6.79K","-0.75%"
"2019년 01월 11일","13,400","13,300","13,400","13,150","4.99K","0.75%"
"2019년 01월 10일","13,300","13,150","13,300","13,000","9.19K","1.14%"
"2019년 01월 09일","13,150","13,200","13,200","13,000","4.86K","0.00%"
"2019년 01월 08일","13,150","13,150","13,200","12,850","7.90K","0.00%"
"2019년 01월 07일","13,150","12,800","13,150","12,700","12.57K","4.37%"
"2019년 01월 04일","12,600","12,600","12,900","12,500","8.07K","0.00%"
"2019년 01월 03일","12,600","12,700","13,100","12,600","21.78K","0.00%"
"2019년 01월 02일","12,600","12,700","12,900","12,600","9.14K","-1.56%"
